Date,MRNA,PFE,JNJ,GOOGL,META,AAPL,COST,WMT,KR,JPM,BAC,HSBC
2019-01-02,15.329999923706055,41.034156799316406,127.75,52.73400115966797,135.67999267578125,39.47999954223633,204.75999450683594,93.33999633789062,27.299999237060547,99.30999755859375,24.959999084472656,40.880001068115234
2019-01-03,15.5,39.886146545410156,125.72000122070312,51.27349853515625,131.74000549316406,35.54750061035156,200.4199981689453,92.86000061035156,27.350000381469727,97.11000061035156,24.559999465942383,40.43000030517578
2019-01-04,16.959999084472656,40.79696273803711,127.83000183105469,53.903499603271484,137.9499969482422,37.064998626708984,206.24000549316406,93.44000244140625,27.65999984741211,100.69000244140625,25.579999923706055,41.61000061035156
2019-01-07,16.270000457763672,41.01517868041992,127.01000213623047,53.79600143432617,138.0500030517578,36.98249816894531,207.0,94.54000091552734,27.920000076293945,100.76000213623047,25.559999465942383,41.04999923706055
2019-01-08,16.950000762939453,41.204933166503906,129.9600067138672,54.26850128173828,142.52999877929688,37.6875,208.5500030517578,95.19999694824219,28.459999084472656,100.56999969482422,25.510000228881836,41.15999984741211
2019-01-09,16.329999923706055,41.119544982910156,128.92999267578125,54.08250045776367,144.22999572753906,38.32749938964844,209.89999389648438,94.88999938964844,28.049999237060547,100.4000015258789,25.760000228881836,41.439998626708984
2019-01-10,16.479999542236328,40.14231491088867,129.7100067138672,53.94150161743164,144.1999969482422,38.45000076293945,210.63999938964844,94.95999908447266,28.479999542236328,100.38999938964844,25.729999542236328,41.529998779296875
2019-01-11,17.0,40.68311309814453,129.75,53.2234992980957,143.8000030517578,38.0724983215332,210.50999450683594,94.83999633789062,28.43000030517578,99.91000366210938,26.030000686645508,41.41999816894531
2019-01-14,16.739999771118164,40.199241638183594,128.27999877929688,52.57550048828125,145.38999938964844,37.5,209.0,94.94999694824219,28.299999237060547,100.94000244140625,26.3700008392334,40.97999954223633
2019-01-15,16.59000015258789,40.54079818725586,129.36000061035156,54.32550048828125,148.9499969482422,38.26750183105469,211.02999877929688,96.25,28.6200008392334,101.68000030517578,26.549999237060547,41.220001220703125
2019-01-16,16.260000228881836,39.95256042480469,128.0399932861328,54.47549819946289,147.5399932861328,38.73500061035156,210.17999267578125,96.3499984741211,28.700000762939453,102.5,28.450000762939453,41.540000915527344
2019-01-17,16.309999465942383,40.29411697387695,129.08999633789062,54.95600128173828,148.3000030517578,38.96500015258789,211.4600067138672,96.73999786376953,28.93000030517578,102.91999816894531,28.989999771118164,41.4900016784668
2019-01-18,16.690000534057617,40.351043701171875,130.69000244140625,55.3650016784668,150.0399932861328,39.20500183105469,213.58999633789062,97.7300033569336,29.43000030517578,104.58999633789062,29.299999237060547,41.91999816894531
2019-01-22,15.5600004196167,40.10436248779297,128.8000030517578,53.93149948120117,147.57000732421875,38.32500076293945,212.39999389648438,97.48999786376953,29.31999969482422,102.94000244140625,29.09000015258789,41.380001068115234
2019-01-23,14.789999961853027,40.0,128.8000030517578,54.22050094604492,144.3000030517578,38.47999954223633,212.08999633789062,98.70999908447266,29.239999771118164,102.68000030517578,28.920000076293945,41.63999938964844
2019-01-24,14.640000343322754,38.851993560791016,127.02999877929688,54.20000076293945,145.8300018310547,38.17499923706055,210.30999755859375,98.36000061035156,28.709999084472656,102.73999786376953,29.079999923706055,41.40999984741211
2019-01-25,14.90999984741211,38.55787658691406,128.22999572753906,55.07550048828125,149.00999450683594,39.439998626708984,209.07000732421875,96.94000244140625,28.1200008392334,103.38999938964844,29.579999923706055,41.86000061035156
2019-01-28,14.449999809265137,37.50474548339844,128.99000549316406,53.99300003051758,147.47000122070312,39.07500076293945,210.77000427246094,97.05999755859375,28.219999313354492,103.87999725341797,29.6299991607666,41.619998931884766
2019-01-29,14.630000114440918,38.68121337890625,130.3300018310547,53.50299835205078,144.19000244140625,38.66999816894531,210.30999755859375,96.70999908447266,28.079999923706055,104.16999816894531,29.389999389648438,42.08000183105469
2019-01-30,15.130000114440918,39.44971466064453,131.63999938964844,54.89950180053711,150.4199981689453,41.3125,211.35000610351562,94.80000305175781,28.260000228881836,104.41000366210938,29.06999969482422,42.47999954223633
2019-01-31,16.600000381469727,40.275142669677734,133.0800018310547,56.294498443603516,166.69000244140625,41.61000061035156,214.6300048828125,95.83000183105469,28.329999923706055,103.5,28.469999313354492,42.130001068115234
2019-02-01,16.219999313354492,40.68311309814453,134.1999969482422,55.930999755859375,165.7100067138672,41.630001068115234,210.27000427246094,93.86000061035156,28.06999969482422,103.87999725341797,28.3799991607666,41.709999084472656
2019-02-04,16.270000457763672,40.265655517578125,132.8800048828125,57.07099914550781,169.25,42.8125,211.17999267578125,94.7699966430664,28.1200008392334,104.25,28.8799991607666,41.970001220703125
2019-02-05,17.18000030517578,39.95256042480469,132.8800048828125,57.59349822998047,171.16000366210938,43.54499816894531,211.61000061035156,95.5999984741211,28.299999237060547,103.79000091552734,28.780000686645508,42.34000015258789
2019-02-06,18.139999389648438,40.16128921508789,133.0,56.144500732421875,170.49000549316406,43.560001373291016,211.60000610351562,95.63999938964844,28.290000915527344,103.73999786376953,28.729999542236328,42.099998474121094
2019-02-07,17.049999237060547,39.563568115234375,132.0500030517578,55.295501708984375,166.3800048828125,42.73500061035156,209.0500030517578,96.7300033569336,28.18000030517578,102.37999725341797,28.239999771118164,41.81999969482422
2019-02-08,17.989999771118164,40.06641387939453,132.39999389648438,55.11899948120117,167.3300018310547,42.602500915527344,207.75,95.58000183105469,27.829999923706055,101.36000061035156,28.290000915527344,41.75
